,Luni - Vineri,Sambata,Duminica
0,5:51,5:56,5:56
1,6:01,6:10,6:12
2,6:09,6:21,6:24
3,6:18,6:31,6:36
4,6:27,6:38,6:44
5,6:33,6:45,6:52
6,6:39,6:52,7:00
7,6:45,6:56,7:04
8,6:48,6:59,7:07
9,6:51,7:03,7:11
10,6:54,7:07,7:15
11,6:57,7:11,7:19
12,7:00,7:14,7:23
13,7:03,7:18,7:27
14,7:06,7:21,7:31
15,7:09,7:25,7:35
16,7:12,7:28,7:39
17,7:14,7:32,7:43
18,7:17,7:35,7:47
19,7:20,7:39,7:51
20,7:25,7:42,7:55
21,7:28,7:46,7:59
22,7:31,7:49,8:03
23,7:34,7:53,8:07
24,7:37,7:56,8:11
25,7:40,8:00,8:15
26,7:43,8:03,8:18
27,7:46,8:07,8:22
28,7:49,8:10,8:26
29,7:52,8:14,8:30
30,7:55,8:18,8:34
31,7:58,8:22,8:38
32,8:01,8:25,8:42
33,8:04,8:29,8:46
34,8:07,8:32,8:50
35,8:10,8:36,8:54
36,8:13,8:39,8:58
37,8:16,8:43,9:02
38,8:19,8:46,9:06
39,8:22,8:50,9:10
40,8:25,8:53,9:20
41,8:28,8:57,9:29
42,8:31,9:00,9:36
43,8:33,9:04,9:44
44,8:36,9:11,9:51
45,8:39,9:18,9:58
46,8:41,9:25,10:04
47,8:44,9:34,10:11
48,8:47,9:41,10:18
49,8:50,9:48,10:23
50,8:53,9:55,10:31
51,8:56,10:00,10:39
52,8:59,10:05,10:47
53,9:02,10:09,10:52
54,9:05,10:13,11:00
55,9:08,10:17,11:05
56,9:14,10:25,11:14
57,9:20,10:32,11:18
58,9:26,10:39,11:23
59,9:32,10:43,11:27
60,9:38,10:51,11:31
61,9:44,10:55,11:35
62,9:50,11:03,11:39
63,9:55,11:07,11:43
64,10:00,11:11,11:47
65,10:05,11:15,11:51
66,10:11,11:19,11:55
67,10:17,11:23,11:59
68,10:25,11:27,12:03
69,10:33,11:31,12:08
70,10:41,11:35,12:12
71,10:49,11:38,12:16
72,10:57,11:41,12:21
73,11:01,11:45,12:25
74,11:05,11:48,12:30
75,11:09,11:52,12:34
76,11:13,11:55,12:39
77,11:17,11:59,12:43
78,11:20,12:03,12:47
79,11:24,12:07,12:51
80,11:28,12:11,12:55
81,11:32,12:15,12:59
82,11:36,12:19,13:03
83,11:39,12:23,13:07
84,11:42,12:27,13:11
85,11:45,12:31,13:15
86,11:48,12:35,13:19
87,11:52,12:39,13:24
88,11:56,12:43,13:28
89,12:00,12:47,13:32
90,12:04,12:51,13:37
