trip_id,arrival_time,departure_time,stop_id,stop_sequence
34,10:00:00,10:15:00,6531479351,1
34,10:15:00,10:30:00,1482712252,2
34,10:30:00,10:45:00,376339178,3
34,10:45:00,11:00:00,461062053,4
34,11:00:00,11:15:00,376339405,5
34,11:15:00,11:30:00,376339305,6
34,11:30:00,11:45:00,461062061,7
34,11:45:00,12:00:00,325005015,8
34,12:00:00,12:15:00,376339155,9
34,12:15:00,12:30:00,376339274,10
34,12:30:00,12:45:00,633621362,11
34,12:45:00,13:00:00,376339075,12
34,13:00:00,13:15:00,376339075,13
34,13:15:00,13:30:00,4884310091,14
34,13:30:00,13:45:00,325005092,15
34,13:45:00,14:00:00,376339157,16
34,14:00:00,14:15:00,376339276,17
34,14:15:00,14:30:00,325005020,18
34,14:30:00,14:45:00,325005035,19
34,14:45:00,15:00:00,325005049,20
34,15:00:00,15:15:00,376339327,21
34,15:15:00,15:30:00,461062058,22
34,15:30:00,15:45:00,376339175,23
34,15:45:00,16:00:00,461062059,24
34,16:00:00,16:15:00,4574932023,25
13,10:00:00,10:15:00,370413213,1
13,10:15:00,10:30:00,370413235,2
13,10:30:00,10:45:00,4110348292,3
13,10:45:00,11:00:00,633630325,4
13,11:00:00,11:15:00,633630323,5
13,11:15:00,11:30:00,376339419,6
13,11:30:00,11:45:00,376339418,7
13,11:45:00,12:00:00,376339467,8
13,12:00:00,12:15:00,376339469,9
13,12:15:00,12:30:00,376339398,10
13,12:30:00,12:45:00,376339396,11
13,12:45:00,13:00:00,376339423,12
13,13:00:00,13:15:00,376339462,13
13,13:15:00,13:30:00,376339222,14
13,13:30:00,13:45:00,376339208,15
13,13:45:00,14:00:00,376339210,16
13,14:00:00,14:15:00,376339213,17
13,14:15:00,14:30:00,376339233,18
13,14:30:00,14:45:00,376339237,19
13,14:45:00,15:00:00,376339226,20
13,15:00:00,15:15:00,633621366,21
13,15:15:00,15:30:00,376339136,22
13,15:30:00,15:45:00,376339282,23
13,15:45:00,16:00:00,461612428,24
13,16:00:00,16:15:00,376339076,25
13,16:15:00,16:30:00,376339140,26
13,16:30:00,16:45:00,376339071,27
13,16:45:00,17:00:00,376339381,28
13,17:00:00,17:15:00,1032276238,29
13,17:15:00,17:30:00,325005191,30
13,17:30:00,17:45:00,376339422,31
13,17:45:00,18:00:00,376339441,32
13,18:00:00,18:15:00,376339215,33
13,18:15:00,18:30:00,376339487,34
13,18:30:00,18:45:00,376339221,35
13,18:45:00,19:00:00,633689763,36
13,19:00:00,19:15:00,376339473,37
13,19:15:00,19:30:00,376339234,38
13,19:30:00,19:45:00,325004946,39
13,19:45:00,20:00:00,376339422,40
13,20:00:00,20:15:00,633630330,41
13,20:15:00,20:30:00,376339347,42
13,20:30:00,20:45:00,325004949,43
13,20:45:00,21:00:00,1216583454,44
13,21:00:00,21:15:00,633630328,45
13,21:15:00,21:30:00,1216583516,46
13,21:30:00,21:45:00,376339471,47
13,21:45:00,22:00:00,1216583421,48
13,22:00:00,22:15:00,376339108,49
13,22:15:00,22:30:00,376339135,50
13,22:30:00,22:45:00,376339139,51
13,22:45:00,23:00:00,376339225,52
13,23:00:00,23:15:00,376339068,53
13,23:15:00,23:30:00,4566489112,54
13,23:30:00,23:45:00,376339079,55
13,23:45:00,00:00:00,376339239,56
13,00:00:00,00:15:00,376339308,57
13,00:15:00,00:30:00,376339341,58
13,00:30:00,00:45:00,376339384,59
13,00:45:00,01:00:00,370413258,60
13,01:00:00,01:15:00,376339230,61
13,01:15:00,01:30:00,4563611318,62
13,01:30:00,01:45:00,370413215,63
3,10:00:00,10:15:00,325004929,1
3,10:15:00,10:30:00,325004932,2
3,10:30:00,10:45:00,325004934,3
3,10:45:00,11:00:00,325004940,4
3,11:00:00,11:15:00,325004946,5
3,11:15:00,11:30:00,325004949,6
3,11:30:00,11:45:00,325004954,7
3,11:45:00,12:00:00,376339107,8
3,12:00:00,12:15:00,325004984,9
3,12:15:00,12:30:00,376339143,10
3,12:30:00,12:45:00,1655985132,11
3,12:45:00,13:00:00,376339163,12
3,13:00:00,13:15:00,1559024579,13
3,13:15:00,13:30:00,325005089,14
3,13:30:00,13:45:00,3808044972,15
3,13:45:00,14:00:00,376339182,16
3,14:00:00,14:15:00,376339243,17
3,14:15:00,14:30:00,325005065,18
3,14:30:00,14:45:00,325005059,19
3,14:45:00,15:00:00,463180466,20
3,15:00:00,15:15:00,463180465,21
3,15:15:00,15:30:00,463180468,22
3,15:30:00,15:45:00,445347713,23
3,15:45:00,16:00:00,376339188,24
3,16:00:00,16:15:00,376339186,25
3,16:15:00,16:30:00,445347712,26
3,16:30:00,16:45:00,463180467,27
3,16:45:00,17:00:00,463180464,28
3,17:00:00,17:15:00,325005062,29
3,17:15:00,17:30:00,325005073,30
3,17:30:00,17:45:00,376339241,31
3,17:45:00,18:00:00,2616042623,32
3,18:00:00,18:15:00,325005077,33
3,18:15:00,18:30:00,376339250,34
3,18:30:00,18:45:00,462242807,35
3,18:45:00,19:00:00,325004979,36
3,19:00:00,19:15:00,376339147,37
3,19:15:00,19:30:00,325004957,38
3,19:30:00,19:45:00,1032276238,39
3,19:45:00,20:00:00,325005191,40
3,20:00:00,20:15:00,325005186,41
3,20:15:00,20:30:00,325005189,42
36,10:00:00,10:15:00,4574874150,1
36,10:15:00,10:30:00,4574874153,2
36,10:30:00,10:45:00,502443841,3
36,10:45:00,11:00:00,1274046327,4
36,11:00:00,11:15:00,4574874161,5
36,11:15:00,11:30:00,376339577,6
36,11:30:00,11:45:00,376339585,7
36,11:45:00,12:00:00,4563632529,8
36,12:00:00,12:15:00,376339542,9
36,12:15:00,12:30:00,325004929,10
36,12:30:00,12:45:00,325004932,11
36,12:45:00,13:00:00,325004934,12
36,13:00:00,13:15:00,325004940,13
36,13:15:00,13:30:00,325004946,14
36,13:30:00,13:45:00,325004949,15
36,13:45:00,14:00:00,376339384,16
36,14:00:00,14:15:00,376339068,17
36,14:15:00,14:30:00,376339108,18
36,14:30:00,14:45:00,376339079,19
36,14:45:00,15:00:00,1216583516,20
36,15:00:00,15:15:00,4884310091,21
36,15:15:00,15:30:00,325005092,22
36,15:30:00,15:45:00,376339147,23
36,15:45:00,16:00:00,325004957,24
36,16:00:00,16:15:00,1032276238,25
36,16:15:00,16:30:00,325005191,26
36,16:30:00,16:45:00,325005186,27
36,16:45:00,17:00:00,325005189,28
36,17:00:00,17:15:00,376339583,29
36,17:15:00,17:30:00,376339544,30
36,17:30:00,17:45:00,376339546,31
36,17:45:00,18:00:00,376339581,32
36,18:00:00,18:15:00,1484644406,33
36,18:15:00,18:30:00,4563611295,34
36,18:30:00,18:45:00,1251179066,35
36,18:45:00,19:00:00,4574874159,36
36,19:00:00,19:15:00,4574874156,37
36,19:15:00,19:30:00,4574874155,38
36,19:30:00,19:45:00,746334620,39
36,19:45:00,20:00:00,4574874151,40
31,10:00:00,10:15:00,325004990,1
31,10:15:00,10:30:00,376339155,2
31,10:30:00,10:45:00,376339274,3
31,10:45:00,11:00:00,4889292449,4
31,11:00:00,11:15:00,1207327539,5
31,11:15:00,11:30:00,325005105,6
31,11:30:00,11:45:00,376339247,7
31,11:45:00,12:00:00,376339245,8
31,12:00:00,12:15:00,4100959489,9
31,12:15:00,12:30:00,4563504812,10
31,12:30:00,12:45:00,376339268,11
31,12:45:00,13:00:00,376339262,12
31,13:00:00,13:15:00,4563504809,13
31,13:15:00,13:30:00,1482712250,14
31,13:30:00,13:45:00,376339260,15
31,13:45:00,14:00:00,5637283322,16
31,14:00:00,14:15:00,1837662770,17
31,14:15:00,14:30:00,5637162121,18
31,14:30:00,14:45:00,5593186221,19
31,14:45:00,15:00:00,4572917744,20
31,15:00:00,15:15:00,1048600924,21
31,15:15:00,15:30:00,3656734117,22
31,15:30:00,15:45:00,4574620987,23
31,15:45:00,16:00:00,4574620984,24
31,16:00:00,16:15:00,4574620984,25
31,16:15:00,16:30:00,4574620986,26
31,16:30:00,16:45:00,4572917747,27
31,16:45:00,17:00:00,1048600352,28
31,17:00:00,17:15:00,4572917745,29
31,17:15:00,17:30:00,5593186222,30
